,code,arrivals,name,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price
1,ARE,8475.0,United Arab Emirates,AED,18.0,3.67305,52625.126,193265.777,2023-07-01,4.900559480540696
3,ARG,6162.0,Argentina,ARS,1650.0,275.275,13640.41,1782994.2,2023-07-01,5.994005994005994
5,AUS,409096.0,Australia,AUD,7.45,1.48400979446464,65574.862,94358.39,2023-07-01,5.020182500000012
7,AUT,14358.0,Austria,EUR,4.81,0.90699,52483.93,49800.808,2023-07-01,5.3032558242097485
9,AZE,1712.0,Azerbaijan,AZN,5.95,1.7025,7822.589,13298.401,2023-07-01,3.494860499265786
11,BEL,21020.0,Belgium,EUR,4.9,0.90699,50259.448,47690.048,2023-07-01,5.4024851431658565
13,BHR,2780.0,Bahrain,BHD,1.7,0.37695,28781.89,10821.99,2023-07-01,4.509881947207853
15,BRA,15139.0,Brazil,BRL,22.9,4.75705,9612.062,49638.291,2023-07-01,4.813907778980671
17,CAN,84768.0,Canada,CAD,7.05,1.31625,55612.897,72383.231,2023-07-01,5.356125356125356
19,CHE,26593.0,Switzerland,CHF,6.7,0.86685,93676.912,89445.76,2023-07-01,7.729134221606968
21,CHL,3510.0,Chile,CLP,3900.0,839.505,15238.627,13306191.73,2023-07-01,4.645594725463219
23,CHN,1661719.0,China,CNY,25.0,7.14355,12642.847,85175.916,2023-07-01,3.499660532928306
25,COL,2859.0,Colombia,COP,18900.0,3882.915,6691.211,28479092.812,2023-07-01,4.867477140241288
27,CRI,922.0,Costa Rica,CRC,2950.0,544.875,13239.876,8569035.283,2023-07-01,5.414085799495297
29,CZE,9728.0,Czech Republic,CZK,105.0,21.6516,26835.823,626804.324,2023-07-01,4.8495261320179575
31,DEU,144717.0,Germany,EUR,5.34,0.90699,48756.309,46263.753,2023-07-01,5.887606258062382
33,DNK,19080.0,Denmark,DKK,38.2,6.7593,68131.892,482111.615,2023-07-01,5.6514727856434845
35,EGY,25669.0,Egypt,EGP,81.0,30.925,4587.172,75699.807,2023-07-01,2.6192400970088925
37,ESP,48872.0,Spain,EUR,5.2,0.90699,29799.745,28276.3,2023-07-01,5.7332495396862155
39,EST,3331.0,Estonia,EUR,4.45,0.90699,28136.261,26697.859,2023-07-01,4.906338548385319
41,FIN,10146.0,Finland,EUR,5.75,0.90699,50846.6,48247.183,2023-07-01,6.3396509333068725
43,FRA,141828.0,France,EUR,5.3,0.90699,42306.085,40143.282,2023-07-01,5.843504338526334
45,GBR,325653.0,Britain,GBP,4.19,0.77721,45730.102,36966.04,2023-07-01,5.391078344334222
47,GRC,4243.0,Greece,EUR,4.7,0.90699,20818.073,19753.796,2023-07-01,5.181975545485618
