Origin,Distance_km
Andorra,10542
United Arab Emirates,5583
Afghanistan,4843
Antigua and Barbuda,17054
Anguilla,17030
Albania,9014
Armenia,6936
Angola,9457
Antarctica,10905
Argentina,15941
American Samoa,9836
Austria,9469
Australia,4746
Aruba,17953
Aland Islands,9163
Azerbaijan,6737
Bosnia and Herzegovina,9226
Barbados,17203
Bangladesh,2499
Belgium,10174
Burkina Faso,11372
Bulgaria,8588
Bahrain,5980
Burundi,8050
Benin,10988
Saint Barthelemy,17045
Bermuda,15719
Brunei,1414
Bolivia,17944
"Bonaire, Saint Eustatius and Saba",17896
Brazil,16946
Bahamas,16763
Bhutan,2866
Bouvet Island,10942
Botswana,8886
Belarus,8584
Canada,12827
Cocos Islands,1908
Democratic Republic of the Congo,8959
Central African Republic,8966
Republic of the Congo,9582
Switzerland,9951
Ivory Coast,11869
Cook Islands,11031
Chile,16454
Cameroon,9906
China,3527
Colombia,18955
Costa Rica,18338
Cuba,17154
Cape Verde,13650
Curacao,17938
Christmas Island,1681
Cyprus,7793
Czech Republic,9399
Germany,9749
Denmark,9771
Dominica,17165
Dominican Republic,17322
Algeria,10794
Ecuador,19750
Estonia,8855
Egypt,7930
Western Sahara,12301
Eritrea,6903
Spain,11016
Ethiopia,6806
Finland,8877
Fiji,8685
Falkland Islands,14454
Micronesia,6228
Faroe Islands,10565
France,10415
Gabon,10055
United Kingdom,10583
Grenada,17454
French Guiana,17104
Guernsey,10692
Ghana,11369
Gibraltar,11268
Greenland,11196
Gambia,12822
Guinea,12286
Equatorial Guinea,10183
Greece,8863
South Georgia and the South Sandwich Islands,13304
Guam,4807
Guinea-Bissau,12843
Guyana,17667
Hong Kong,2407
Heard Island and McDonald Islands,6905
Honduras,17675
Croatia,9423
Haiti,17362
Hungary,9095
Indonesia,1439
Ireland,10944
Israel,7593
Isle of Man,10685
India,3084
British Indian Ocean Territory,3521
Iraq,6828
Iran,5912
Iceland,10972
Italy,9646
Jersey,10666
Jamaica,17532
Jordan,7454
Japan,5137
Kenya,7133
Kyrgyzstan,4926
Cambodia,986
Kiribati,11174
Comoros,6720
Saint Kitts and Nevis,17091
North Korea,4762
South Korea,4405
Kosovo,8960
Kuwait,6366
Cayman Islands,17376
Kazakhstan,5903
Laos,1741
Lebanon,7550
Liechtenstein,9847
Sri Lanka,2379
Liberia,12309
Lesotho,8683
Lithuania,8869
Latvia,8850
Libya,9277
Morocco,11540
Monaco,10048
Moldova,8434
Montenegro,9086
Saint Martin,17042
Madagascar,6549
Marshall Islands,7011
Macedonia,8885
Mali,11548
Myanmar,2073
Mongolia,4746
Macao,2357
Northern Mariana Islands,4930
Mauritania,12192
Montserrat,17107
Malta,9517
Mauritius,5564
Maldives,3167
Malawi,7716
