,Component,Year,RM,Percentage
0,Shopping,2019,28944.2,35.59322867606007
1,Accommodation,2019,20674.4,25.42369963378972
2,F&B,2019,11457.1,14.089011970083398
3,Local Transport,2019,6546.9,8.05084641549249
4,Medical,2019,2928.9,3.6017235739565217
5,Organized Tour,2019,5427.0,6.673684262303952
6,Entertainment,2019,2928.9,3.6017235739565217
7,Domestic Airfare,2019,2239.7,2.754201334490908
8,Sports,2019,172.3,0.21188055986640333
9,Shopping,2022,10755.0,43.944773820273845
10,Accommodation,2022,4714.1,19.261744143761316
11,F&B,2022,4403.6,17.993045652715754
12,Local Transport,2022,1157.4,4.729119592708968
13,Medical,2022,1213.8,4.959569173691157
14,Organized Tour,2022,705.7,2.8834799521122507
15,Entertainment,2022,1129.1,4.613486203670032
16,Fuel,2022,310.5,1.268698491045563
17,Sports,2022,84.7,0.3460829700211246
18,Shopping,2023,24173.6,38.47902353922461
19,Accommodation,2023,13406.0,21.339386337444367
20,F&B,2023,10625.0,16.91264954761647
21,Local Transport,2023,4563.7,7.264400822631273
22,Medical,2023,3494.1,5.561834238524866
23,Organized Tour,2023,3137.6,4.994365103115429
24,Entertainment,2023,2638.4,4.199749135664122
25,Fuel,2023,713.1,1.1350974486969698
26,Sports,2023,71.3,0.11349382708188746
