,name,adjust_price,arrivals,code
112,Singapore,4.469189107298414,14885712.0,SGP
57,Indonesia,2.519893899204244,3734821.0,IDN
120,Thailand,3.8997638814837385,2362222.0,THA
23,China,3.499660532928306,1661719.0,CHN
58,India,2.5331946399069936,930548.0,IND
100,Philippines,2.8474327179204555,510580.0,PHL
71,South Korea,4.07955124936257,444660.0,KOR
4,Australia,5.110887500000011,409096.0,AUS
133,Vietnam,3.070362473347548,402145.0,VNM
44,Britain,4.667200295548303,325653.0,GBR
69,Japan,3.1672297297297294,324050.0,JPN
124,Taiwan,2.469623629358886,314100.0,TWN
130,United States,5.36,267340.0,USA
96,Pakistan,3.388357949609036,157774.0,PAK
31,Germany,5.887606258062382,144717.0,DEU
