,soe,gender,value
0,Johor,male,22334867.0
1,Kedah,male,1622238.0
2,Kelantan,male,607108.0
3,Melaka,male,63397.0
4,Negeri Sembilan,male,117076.0
5,Pahang,male,9990.0
6,Perak,male,227077.0
7,Perlis,male,1083957.0
8,Pulau Pinang,male,1012922.0
9,Sabah,male,428031.0
10,Sarawak,male,2086092.0
11,Selangor,male,10026461.0
12,Terengganu,male,222.0
13,W.P. Labuan,male,30681.0
14,Johor,female,17583695.0
15,Kedah,female,1031763.0
16,Kelantan,female,562965.0
17,Melaka,female,77261.0
18,Negeri Sembilan,female,63406.0
19,Pahang,female,8046.0
20,Perak,female,256268.0
21,Perlis,female,638358.0
22,Pulau Pinang,female,1156062.0
23,Sabah,female,504660.0
24,Sarawak,female,1734256.0
25,Selangor,female,7278212.0
26,Terengganu,female,41.0
27,W.P. Labuan,female,16836.0
