,date,sub-region,arrivals
0,Apr 2020,Australia and New Zealand,6.0
1,Apr 2020,Eastern Asia,10.0
2,Apr 2020,Eastern Europe,2.0
3,Apr 2020,Northern Africa,3.0
4,Apr 2020,Northern America,6.0
5,Apr 2020,Northern Europe,4.0
6,Apr 2020,South-eastern Asia,462.0
7,Apr 2020,Southern Asia,14.0
8,Apr 2020,Southern Europe,2.0
9,Apr 2020,Sub-Saharan Africa,1.0
10,Apr 2020,Western Asia,2.0
11,Apr 2020,Western Europe,5.0
12,Apr 2021,Australia and New Zealand,28.0
13,Apr 2021,Central Asia,9.0
14,Apr 2021,Eastern Asia,145.0
15,Apr 2021,Eastern Europe,20.0
16,Apr 2021,Latin America and the Caribbean,5.0
17,Apr 2021,Melanesia,1.0
18,Apr 2021,Micronesia,1.0
19,Apr 2021,Northern Africa,39.0
20,Apr 2021,Northern America,52.0
21,Apr 2021,Northern Europe,19.0
22,Apr 2021,South-eastern Asia,791.0
23,Apr 2021,Southern Asia,158.0
24,Apr 2021,Southern Europe,10.0
25,Apr 2021,Sub-Saharan Africa,13.0
26,Apr 2021,Western Asia,20.0
27,Apr 2021,Western Europe,22.0
28,Apr 2022,Australia and New Zealand,495.0
29,Apr 2022,Central Asia,34.0
30,Apr 2022,Eastern Asia,564.0
31,Apr 2022,Eastern Europe,46.0
32,Apr 2022,Latin America and the Caribbean,16.0
33,Apr 2022,Melanesia,5.0
34,Apr 2022,Micronesia,2.0
35,Apr 2022,Northern Africa,88.0
36,Apr 2022,Northern America,392.0
37,Apr 2022,Northern Europe,194.0
38,Apr 2022,Polynesia,13.0
39,Apr 2022,South-eastern Asia,7354.0
40,Apr 2022,Southern Asia,1080.0
41,Apr 2022,Southern Europe,49.0
42,Apr 2022,Sub-Saharan Africa,24.0
43,Apr 2022,Western Asia,99.0
44,Apr 2022,Western Europe,179.0
45,Apr 2023,Australia and New Zealand,1714.0
46,Apr 2023,Central Asia,65.0
47,Apr 2023,Eastern Asia,3236.0
48,Apr 2023,Eastern Europe,224.0
49,Apr 2023,Latin America and the Caribbean,34.0
50,Apr 2023,Melanesia,16.0
51,Apr 2023,Micronesia,3.0
52,Apr 2023,Northern Africa,90.0
53,Apr 2023,Northern America,1052.0
54,Apr 2023,Northern Europe,419.0
55,Apr 2023,Polynesia,4.0
56,Apr 2023,South-eastern Asia,16007.0
57,Apr 2023,Southern Asia,2289.0
58,Apr 2023,Southern Europe,112.0
59,Apr 2023,Sub-Saharan Africa,50.0
60,Apr 2023,Western Asia,90.0
61,Apr 2023,Western Europe,427.0
62,Apr 2024,Australia and New Zealand,1488.0
63,Apr 2024,Central Asia,198.0
64,Apr 2024,Eastern Asia,5149.0
65,Apr 2024,Eastern Europe,230.0
66,Apr 2024,Latin America and the Caribbean,40.0
67,Apr 2024,Melanesia,26.0
68,Apr 2024,Micronesia,3.0
69,Apr 2024,Northern Africa,147.0
70,Apr 2024,Northern America,1249.0
71,Apr 2024,Northern Europe,480.0
72,Apr 2024,Polynesia,5.0
73,Apr 2024,South-eastern Asia,21783.0
74,Apr 2024,Southern Asia,2486.0
75,Apr 2024,Southern Europe,123.0
76,Apr 2024,Sub-Saharan Africa,58.0
77,Apr 2024,Western Asia,116.0
78,Apr 2024,Western Europe,548.0
79,Aug 2020,Australia and New Zealand,48.0
80,Aug 2020,Central Asia,5.0
81,Aug 2020,Eastern Asia,82.0
82,Aug 2020,Eastern Europe,17.0
83,Aug 2020,Latin America and the Caribbean,14.0
84,Aug 2020,Melanesia,1.0
85,Aug 2020,Northern Africa,9.0
86,Aug 2020,Northern America,64.0
